time,low,high,open,close
Mar  6 03:58:00,1121140,1296560,1123380,1123340
Mar  6 12:07:00,1121140,1302610,1301460,1132500
Mar  6 12:40:00,1121140,1302610,1130730,1131110
Mar  5 23:37:00,1122500,1295520,1122590,1295100
Mar  6 02:05:00,1121140,1296430,1124210,1124220
Mar  6 15:15:00,1121140,1304910,1134460,1133860
Mar  6 14:33:00,1121140,1302610,1133730,1133450
Mar  6 19:20:00,1121140,1304910,1130440,1300840
Mar  6 20:56:00,1121140,1304910,1130360,1130530
Mar  6 01:06:00,1121140,1295860,1295280,1122230
Mar  6 02:17:00,1121140,1296560,1124470,1124290
Mar  6 03:59:00,1121140,1296560,1296120,1123360
Mar  6 05:06:00,1121140,1296560,1123310,1123300
Mar  6 12:21:00,1121140,1302610,1299510,1131290
Mar  6 20:42:00,1121140,1304910,1130750,1131140
Mar  6 05:52:00,1121140,1296560,1295390,1295420
Mar  6 07:24:00,1121140,1297260,1122610,1122710
Mar  6 13:51:00,1121140,1302610,1299090,1131980
Mar  6 16:11:00,1121140,1304910,1303660,1132730
Mar  6 17:57:00,1121140,1304910,1130660,1130580
Mar  6 04:39:00,1121140,1296560,1295500,1295490
Mar  6 06:25:00,1121140,1296560,1122760,1122760
Mar  6 11:22:00,1121140,1301610,1132940,1132590
Mar  6 11:42:00,1121140,1302610,1133610,1133940
Mar  6 19:13:00,1121140,1304910,1129940,1300780
Mar  6 02:47:00,1121140,1296560,1296010,1295770
Mar  6 09:11:00,1121140,1298250,1298250,1298180
Mar  6 16:00:00,1121140,1304910,1131020,1303180
Mar  6 17:55:00,1121140,1304910,1300070,1300360
Mar  6 19:18:00,1121140,1304910,1130020,1300980
Mar  6 00:54:00,1121280,1295860,1295450,1121210
Mar  6 10:05:00,1121140,1299810,1129910,1130290
Mar  6 14:39:00,1121140,1302610,1133430,1133590
Mar  6 15:51:00,1121140,1304910,1130220,1130540
Mar  6 16:05:00,1121140,1304910,1304130,1303720
Mar  6 00:16:00,1121930,1295660,1122100,1122060
Mar  6 00:43:00,1121350,1295860,1122470,1122580
Mar  6 03:54:00,1121140,1296560,1295870,1122990
Mar  6 06:07:00,1121140,1296560,1123480,1123270
Mar  6 10:00:00,1121140,1299780,1129430,1299130
Mar  6 19:34:00,1121140,1304910,1301270,1301180
Mar  6 10:35:00,1121140,1301430,1131650,1131420
Mar  6 14:01:00,1121140,1302610,1299560,1132870
Mar  6 14:44:00,1121140,1302610,1134240,1302000
Mar  5 23:13:00,1122780,1295520,1122860,1122860
Mar  6 05:59:00,1121140,1296560,1122990,1122860
Mar  6 06:13:00,1121140,1296560,1295690,1122630
Mar  6 07:17:00,1121140,1297030,1122660,1122680
Mar  6 08:14:00,1121140,1298120,1297400,1123940
Mar  6 17:36:00,1121140,1304910,1299270,1130260
Mar  6 00:37:00,1121350,1295760,1122420,1295780
Mar  6 03:48:00,1121140,1296560,1123180,1296020
Mar  6 06:57:00,1121140,1296560,1296200,1296170
Mar  6 08:29:00,1121140,1298120,1124810,1297480
Mar  6 08:40:00,1121140,1298120,1297530,1126870
Mar  6 05:34:00,1121140,1296560,1295410,1295390
Mar  6 06:58:00,1121140,1296570,1122910,1122930
Mar  6 09:05:00,1121140,1298170,1127030,1297820
Mar  6 11:14:00,1121140,1301430,1300120,1132960
Mar  6 19:33:00,1121140,1304910,1300970,1130650
Mar  6 03:53:00,1121140,1296560,1295870,1295880
Mar  6 12:48:00,1121140,1302610,1131380,1299400
Mar  6 15:39:00,1121140,1304910,1131050,1303780
Mar  6 00:25:00,1121350,1295660,1295190,1295180
Mar  6 02:40:00,1121140,1296560,1123690,1295670
Mar  6 16:24:00,1121140,1304910,1132260,1132230
Mar  6 20:00:00,1121140,1304910,1301440,1131420
Mar  6 20:06:00,1121140,1304910,1131790,1131870
Mar  5 23:29:00,1122600,1295520,1295300,1295270
Mar  6 03:26:00,1121140,1296560,1123030,1123210
Mar  6 08:54:00,1121140,1298170,1298120,1297690
Mar  5 23:44:00,1122500,1295520,1122690,1295410
Mar  6 07:31:00,1121140,1297580,1122980,1123080
Mar  6 09:12:00,1121140,1298420,1298180,1298470
Mar  6 15:35:00,1121140,1304910,1304470,1131230
Mar  6 17:11:00,1121140,1304910,1300950,1301280
Mar  6 03:02:00,1121140,1296560,1295590,1123190
Mar  6 05:30:00,1121140,1296560,1295600,1123610
Mar  6 18:20:00,1121140,1304910,1130400,1129980
Mar  6 19:07:00,1121140,1304910,1129600,1300560
Mar  6 19:45:00,1121140,1304910,1131130,1130920
Mar  6 13:12:00,1121140,1302610,1300510,1133030
Mar  6 20:24:00,1121140,1304910,1131640,1302100
Mar  6 20:49:00,1121140,1304910,1130890,1130820
Mar  6 11:13:00,1121140,1301430,1132450,1132680
Mar  6 11:39:00,1121140,1302610,1301970,1133610
Mar  6 15:29:00,1121140,1304910,1130380,1130600
Mar  5 23:26:00,1122600,1295520,1295410,1295260
Mar  5 23:48:00,1122500,1295520,1295270,1295260
Mar  6 03:29:00,1121140,1296560,1123040,1295830
Mar  6 03:41:00,1121140,1296560,1295460,1295410
Mar  6 08:46:00,1121140,1298120,1126980,1126920
Mar  6 16:52:00,1121140,1304910,1131440,1131260
Mar  6 19:40:00,1121140,1304910,1131050,1131020
Mar  6 02:24:00,1121140,1296560,1295910,1123770
Mar  6 10:04:00,1121140,1299780,1299520,1299640
Mar  6 16:58:00,1121140,1304910,1131680,1131770
Mar  6 05:25:00,1121140,1296560,1295600,1295500
Mar  6 07:54:00,1121140,1297700,1123690,1297520
Mar  6 08:51:00,1121140,1298120,1127390,1298060
Mar  6 13:35:00,1121140,1302610,1299870,1130890
Mar  6 19:57:00,1121140,1304910,1131430,1131520
Mar  6 15:45:00,1121140,1304910,1130520,1130580
Mar  5 23:32:00,1122600,1295520,1295210,1295240
Mar  6 06:14:00,1121140,1296560,1122640,1122750
Mar  6 07:23:00,1121140,1297260,1297010,1122610
Mar  6 12:27:00,1121140,1302610,1299910,1131960
Mar  6 13:48:00,1121140,1302610,1131280,1298890
Mar  6 17:14:00,1121140,1304910,1301280,1132080
Mar  6 06:12:00,1121140,1296560,1295620,1295720
Mar  6 06:42:00,1121140,1296560,1122260,1295620
Mar  6 07:18:00,1121140,1297030,1296790,1122690
Mar  6 10:54:00,1121140,1301430,1131170,1299810
Mar  6 11:58:00,1121140,1302610,1301760,1301040
Mar  6 07:11:00,1121140,1296640,1122430,1122630
Mar  6 14:23:00,1121140,1302610,1134490,1133930
Mar  6 00:56:00,1121140,1295860,1121670,1121780
Mar  6 10:36:00,1121140,1301430,1131410,1299680
Mar  6 13:54:00,1121140,1302610,1299650,1299510
Mar  6 00:18:00,1121500,1295660,1121590,1295380
Mar  6 01:50:00,1121140,1295860,1122840,1122860
Mar  6 02:42:00,1121140,1296560,1295780,1123540
Mar  6 02:49:00,1121140,1296560,1295720,1123390
Mar  6 07:15:00,1121140,1296640,1122880,1296690
Mar  5 23:55:00,1122250,1295520,1294980,1122330
Mar  6 09:07:00,1121140,1298170,1297980,1127450
Mar  6 14:13:00,1121140,1302610,1132150,1132140
Mar  6 16:43:00,1121140,1304910,1301380,1130990
Mar  5 21:01:00,1111960,1296830,1296190,1122890
Mar  6 01:51:00,1121140,1295860,1122850,1122860
Mar  6 05:58:00,1121140,1296560,1123130,1295300
Mar  6 09:20:00,1121140,1298540,1127360,1298190
Mar  6 19:59:00,1121140,1304910,1131480,1131800
Mar  6 03:23:00,1121140,1296560,1123320,1123320
Mar  6 06:47:00,1121140,1296560,1122710,1295910
Mar  6 08:15:00,1121140,1298120,1297130,1297220
Mar  6 14:45:00,1121140,1302610,1133770,1134220
Mar  6 16:10:00,1121140,1304910,1132540,1132570
Mar  6 15:26:00,1121140,1304910,1303450,1131070
Mar  6 00:20:00,1121500,1295660,1295310,1295290
Mar  6 04:30:00,1121140,1296560,1123530,1295480
Mar  6 10:25:00,1121140,1301390,1131720,1131840
Mar  6 12:55:00,1121140,1302610,1131410,1299800
Mar  6 13:39:00,1121140,1302610,1131670,1131490
Mar  6 01:56:00,1121140,1296010,1295870,1124230
Mar  6 05:44:00,1121140,1296560,1123430,1295400
Mar  6 08:17:00,1121140,1298120,1297080,1124240
Mar  6 08:24:00,1121140,1298120,1123930,1124130
Mar  6 13:04:00,1121140,1302610,1299800,1132270
Mar  6 01:40:00,1121140,1295860,1122770,1295640
Mar  6 06:36:00,1121140,1296560,1295620,1122230
Mar  6 01:54:00,1121140,1295860,1122950,1123240
Mar  6 11:31:00,1121140,1302370,1302120,1133120
Mar  6 01:14:00,1121140,1295860,1295260,1295280
Mar  6 11:51:00,1121140,1302610,1301880,1133150
Mar  6 17:53:00,1121140,1304910,1299760,1300040
Mar  6 04:52:00,1121140,1296560,1295380,1295400
Mar  6 08:28:00,1121140,1298120,1297010,1124820
Mar  6 09:14:00,1121140,1298480,1127540,1298060
Mar  5 21:00:00,1111960,1296830,1296130,1296160
Mar  6 02:31:00,1121140,1296560,1295690,1295720
Mar  6 02:43:00,1121140,1296560,1123540,1123610
Mar  6 03:38:00,1121140,1296560,1122780,1295500
Mar  6 04:00:00,1121140,1296560,1123390,1296000
Mar  6 13:19:00,1121140,1302610,1133140,1300590
Mar  6 16:26:00,1121140,1304910,1132560,1302200
Mar  6 19:36:00,1121140,1304910,1130930,1131040
Mar  6 19:53:00,1121140,1304910,1131450,1301680
Mar  6 02:51:00,1121140,1296560,1123350,1295420
Mar  6 08:57:00,1121140,1298170,1127540,1297410
Mar  6 10:42:00,1121140,1301430,1130950,1298710
Mar  6 13:08:00,1121140,1302610,1132920,1300170
Mar  6 18:23:00,1121140,1304910,1129590,1129220
